Date,Damages
2012-11-28,7839.24
2012-12-28,8129.7
2013-01-28,8794.07
2013-02-28,6996.77
2013-03-28,9313.4
2013-04-28,8797.26
2013-05-28,15627.91
2013-06-28,23326.1
2013-07-28,31683.77
2013-08-28,25167.7
2013-09-28,17377.88
2013-10-28,10063.96
2013-11-28,9970.32
2013-12-28,8808.19
2014-01-28,9870.9
2014-02-28,7266.67
2014-03-28,6061.71
2014-04-28,5644.09
2014-05-28,24571.36
2014-06-28,34750.93
2014-07-28,36869.29
2014-08-28,32936.91
2014-09-28,27698.4
2014-10-28,19141.29
2014-11-28,19904.89
2014-12-28,17420.3
2015-01-28,18097.87
2015-02-28,16664.81
2015-03-28,14579.13
2015-04-28,14927.63
2015-05-28,25537.84
2015-06-28,34745.24
2015-07-28,41792.37
2015-08-28,36645.39
2015-09-28,27682.21
2015-10-28,17985.33
2015-11-28,18000.99
2015-12-28,18218.74
2016-01-28,18868.36
2016-02-28,15380.81
2016-03-28,16307.11
2016-04-28,14905.74
2016-05-28,20205.1
2016-06-28,30307.2
2016-07-28,41540.36
2016-08-28,47375.83
2016-09-28,34092.88
2016-10-28,17642.05
